tconst,stars,n,date
tt0004972,1,3034,2023-02-14
tt0004972,2,698,2023-02-14
tt0004972,3,831,2023-02-14
tt0004972,4,1126,2023-02-14
tt0004972,5,2276,2023-02-14
tt0004972,6,3308,2023-02-14
tt0004972,7,4402,2023-02-14
tt0004972,8,3628,2023-02-14
tt0004972,9,1893,2023-02-14
tt0004972,10,4014,2023-02-14
tt0010323,1,1661,2023-02-14
tt0010323,2,416,2023-02-14
tt0010323,3,593,2023-02-14
tt0010323,4,871,2023-02-14
tt0010323,5,1889,2023-02-14
tt0010323,6,4212,2023-02-14
tt0010323,7,10578,2023-02-14
tt0010323,8,19213,2023-02-14
tt0010323,9,12940,2023-02-14
tt0010323,10,13146,2023-02-14
tt0012349,1,2077,2023-02-14
tt0012349,2,718,2023-02-14
tt0012349,3,652,2023-02-14
tt0012349,4,1450,2023-02-14
tt0012349,5,2884,2023-02-14
tt0012349,6,5910,2023-02-14
tt0012349,7,18122,2023-02-14
tt0012349,8,39101,2023-02-14
tt0012349,9,30000,2023-02-14
tt0012349,10,26829,2023-02-14
tt0013442,1,2259,2023-02-14
tt0013442,2,715,2023-02-14
tt0013442,3,973,2023-02-14
tt0013442,4,1488,2023-02-14
tt0013442,5,3278,2023-02-14
tt0013442,6,7496,2023-02-14
tt0013442,7,17454,2023-02-14
tt0013442,8,28727,2023-02-14
tt0013442,9,17338,2023-02-14
tt0013442,10,19715,2023-02-14
tt0014429,1,564,2023-02-14
tt0014429,2,146,2023-02-14
tt0014429,3,137,2023-02-14
tt0014429,4,209,2023-02-14
tt0014429,5,529,2023-02-14
tt0014429,6,1209,2023-02-14
tt0014429,7,3440,2023-02-14
tt0014429,8,6405,2023-02-14
tt0014429,9,4508,2023-02-14
tt0014429,10,4105,2023-02-14
tt0015324,1,1435,2023-02-14
tt0015324,2,647,2023-02-14
tt0015324,3,457,2023-02-14
tt0015324,4,622,2023-02-14
tt0015324,5,1447,2023-02-14
tt0015324,6,2853,2023-02-14
tt0015324,7,7762,2023-02-14
tt0015324,8,15246,2023-02-14
tt0015324,9,10735,2023-02-14
tt0015324,10,9954,2023-02-14
tt0015648,1,1749,2023-02-14
tt0015648,2,453,2023-02-14
tt0015648,3,537,2023-02-14
tt0015648,4,831,2023-02-14
tt0015648,5,2006,2023-02-14
tt0015648,6,4327,2023-02-14
tt0015648,7,9943,2023-02-14
tt0015648,8,16552,2023-02-14
tt0015648,9,10415,2023-02-14
tt0015648,10,12025,2023-02-14
tt0015864,1,2162,2023-02-14
tt0015864,2,692,2023-02-14
tt0015864,3,733,2023-02-14
tt0015864,4,1061,2023-02-14
tt0015864,5,2651,2023-02-14
tt0015864,6,5956,2023-02-14
tt0015864,7,17772,2023-02-14
tt0015864,8,35017,2023-02-14
tt0015864,9,24157,2023-02-14
tt0015864,10,22347,2023-02-14
tt0017136,1,3912,2023-02-14
tt0017136,2,1267,2023-02-14
tt0017136,3,1720,2023-02-14
tt0017136,4,2704,2023-02-14
tt0017136,5,5206,2023-02-14
tt0017136,6,9861,2023-02-14
tt0017136,7,24156,2023-02-14
tt0017136,8,44848,2023-02-14
tt0017136,9,40540,2023-02-14
tt0017136,10,41901,2023-02-14
tt0017925,1,2339,2023-02-14
tt0017925,2,775,2023-02-14
tt0017925,3,1049,2023-02-14
tt0017925,4,1235,2023-02-14
tt0017925,5,2942,2023-02-14
tt0017925,6,5658,2023-02-14
tt0017925,7,14733,2023-02-14
tt0017925,8,25982,2023-02-14
tt0017925,9,18919,2023-02-14
tt0017925,10,18979,2023-02-14
tt0018455,1,1809,2023-02-14
tt0018455,2,495,2023-02-14
tt0018455,3,530,2023-02-14
tt0018455,4,857,2023-02-14
tt0018455,5,1793,2023-02-14
tt0018455,6,3259,2023-02-14
tt0018455,7,8141,2023-02-14
tt0018455,8,13227,2023-02-14
tt0018455,9,8895,2023-02-14
tt0018455,10,12611,2023-02-14
tt0018773,1,990,2023-02-14
tt0018773,2,222,2023-02-14
tt0018773,3,121,2023-02-14
tt0018773,4,225,2023-02-14
tt0018773,5,596,2023-02-14
tt0018773,6,1676,2023-02-14
tt0018773,7,5844,2023-02-14
tt0018773,8,12204,2023-02-14
tt0018773,9,7099,2023-02-14
tt0018773,10,5478,2023-02-14
tt0019254,1,2377,2023-02-14
tt0019254,2,737,2023-02-14
tt0019254,3,813,2023-02-14
tt0019254,4,1077,2023-02-14
tt0019254,5,2003,2023-02-14
tt0019254,6,3497,2023-02-14
tt0019254,7,7878,2023-02-14
tt0019254,8,13210,2023-02-14
tt0019254,9,9937,2023-02-14
tt0019254,10,14649,2023-02-14
tt0020629,1,1548,2023-02-14
tt0020629,2,521,2023-02-14
tt0020629,3,495,2023-02-14
tt0020629,4,772,2023-02-14
tt0020629,5,1797,2023-02-14
tt0020629,6,3938,2023-02-14
tt0020629,7,10305,2023-02-14
tt0020629,8,19205,2023-02-14
tt0020629,9,13546,2023-02-14
tt0020629,10,12045,2023-02-14
tt0021749,1,3562,2023-02-14
tt0021749,2,1070,2023-02-14
tt0021749,3,1121,2023-02-14
tt0021749,4,2062,2023-02-14
tt0021749,5,3782,2023-02-14
tt0021749,6,7450,2023-02-14
tt0021749,7,21280,2023-02-14
tt0021749,8,46437,2023-02-14
tt0021749,9,47930,2023-02-14
tt0021749,10,51704,2023-02-14
tt0021814,1,372,2023-02-14
tt0021814,2,227,2023-02-14
tt0021814,3,492,2023-02-14
tt0021814,4,1063,2023-02-14
tt0021814,5,2570,2023-02-14
tt0021814,6,6420,2023-02-14
tt0021814,7,14203,2023-02-14
tt0021814,8,14545,2023-02-14
tt0021814,9,6442,2023-02-14
tt0021814,10,8010,2023-02-14
tt0021884,1,1224,2023-02-14
tt0021884,2,368,2023-02-14
tt0021884,3,557,2023-02-14
tt0021884,4,1002,2023-02-14
tt0021884,5,2446,2023-02-14
tt0021884,6,6128,2023-02-14
tt0021884,7,15461,2023-02-14
tt0021884,8,23248,2023-02-14
tt0021884,9,11511,2023-02-14
tt0021884,10,12800,2023-02-14
tt0022100,1,4127,2023-02-14
tt0022100,2,1017,2023-02-14
tt0022100,3,1265,2023-02-14
tt0022100,4,2185,2023-02-14
tt0022100,5,4159,2023-02-14
tt0022100,6,8402,2023-02-14
tt0022100,7,21915,2023-02-14
tt0022100,8,42491,2023-02-14
tt0022100,9,39260,2023-02-14
tt0022100,10,34861,2023-02-14
tt0022286,1,123,2023-02-14
tt0022286,2,113,2023-02-14
tt0022286,3,132,2023-02-14
tt0022286,4,290,2023-02-14
tt0022286,5,1032,2023-02-14
tt0022286,6,2246,2023-02-14
tt0022286,7,5644,2023-02-14
tt0022286,8,6924,2023-02-14
tt0022286,9,2827,2023-02-14
tt0022286,10,2378,2023-02-14
tt0022913,1,539,2023-02-14
tt0022913,2,232,2023-02-14
tt0022913,3,376,2023-02-14
tt0022913,4,614,2023-02-14
tt0022913,5,1616,2023-02-14
tt0022913,6,3748,2023-02-14
tt0022913,7,9333,2023-02-14
tt0022913,8,14925,2023-02-14
tt0022913,9,8167,2023-02-14
tt0022913,10,8076,2023-02-14
tt0023245,1,221,2023-02-14
tt0023245,2,137,2023-02-14
tt0023245,3,318,2023-02-14
tt0023245,4,739,2023-02-14
tt0023245,5,1831,2023-02-14
tt0023245,6,4619,2023-02-14
tt0023245,7,8762,2023-02-14
tt0023245,8,5980,2023-02-14
tt0023245,9,2444,2023-02-14
tt0023245,10,2879,2023-02-14
tt0023427,1,736,2023-02-14
tt0023427,2,97,2023-02-14
tt0023427,3,199,2023-02-14
tt0023427,4,341,2023-02-14
tt0023427,5,895,2023-02-14
tt0023427,6,2444,2023-02-14
tt0023427,7,6369,2023-02-14
tt0023427,8,9452,2023-02-14
tt0023427,9,4356,2023-02-14
tt0023427,10,3801,2023-02-14
tt0023969,1,1421,2023-02-14
tt0023969,2,637,2023-02-14
tt0023969,3,919,2023-02-14
tt0023969,4,1232,2023-02-14
tt0023969,5,2743,2023-02-14
tt0023969,6,5008,2023-02-14
tt0023969,7,9415,2023-02-14
tt0023969,8,14718,2023-02-14
tt0023969,9,10779,2023-02-14
tt0023969,10,13942,2023-02-14
tt0024184,1,793,2023-02-14
tt0024184,2,94,2023-02-14
tt0024184,3,183,2023-02-14
tt0024184,4,464,2023-02-14
tt0024184,5,1168,2023-02-14
tt0024184,6,3411,2023-02-14
tt0024184,7,9209,2023-02-14
tt0024184,8,12067,2023-02-14
tt0024184,9,4942,2023-02-14
tt0024184,10,4535,2023-02-14
tt0024216,1,1642,2023-02-14
tt0024216,2,534,2023-02-14
tt0024216,3,779,2023-02-14
tt0024216,4,1318,2023-02-14
tt0024216,5,3040,2023-02-14
tt0024216,6,7113,2023-02-14
tt0024216,7,16314,2023-02-14
tt0024216,8,25181,2023-02-14
tt0024216,9,13739,2023-02-14
tt0024216,10,17255,2023-02-14
tt0025316,1,2189,2023-02-14
tt0025316,2,661,2023-02-14
tt0025316,3,724,2023-02-14
tt0025316,4,1173,2023-02-14
tt0025316,5,2776,2023-02-14
tt0025316,6,6277,2023-02-14
tt0025316,7,17884,2023-02-14
tt0025316,8,32104,2023-02-14
tt0025316,9,21796,2023-02-14
tt0025316,10,20061,2023-02-14
tt0025878,1,502,2023-02-14
tt0025878,2,139,2023-02-14
tt0025878,3,198,2023-02-14
tt0025878,4,335,2023-02-14
tt0025878,5,869,2023-02-14
tt0025878,6,2078,2023-02-14
tt0025878,7,5233,2023-02-14
tt0025878,8,8676,2023-02-14
tt0025878,9,5838,2023-02-14
tt0025878,10,6927,2023-02-14
tt0026029,1,465,2023-02-14
tt0026029,2,218,2023-02-14
tt0026029,3,322,2023-02-14
tt0026029,4,689,2023-02-14
tt0026029,5,1865,2023-02-14
tt0026029,6,5639,2023-02-14
tt0026029,7,14259,2023-02-14
tt0026029,8,18696,2023-02-14
tt0026029,9,8810,2023-02-14
tt0026029,10,7414,2023-02-14
tt0026138,1,1049,2023-02-14
tt0026138,2,293,2023-02-14
tt0026138,3,476,2023-02-14
tt0026138,4,848,2023-02-14
tt0026138,5,1905,2023-02-14
tt0026138,6,4538,2023-02-14
tt0026138,7,9520,2023-02-14
tt0026138,8,13470,2023-02-14
tt0026138,9,7692,2023-02-14
tt0026138,10,10130,2023-02-14
tt0026752,1,272,2023-02-14
tt0026752,2,93,2023-02-14
tt0026752,3,135,2023-02-14
tt0026752,4,270,2023-02-14
tt0026752,5,737,2023-02-14
tt0026752,6,2037,2023-02-14
tt0026752,7,5745,2023-02-14
tt0026752,8,8053,2023-02-14
tt0026752,9,3317,2023-02-14
tt0026752,10,2916,2023-02-14
tt0026778,1,581,2023-02-14
tt0026778,2,230,2023-02-14
tt0026778,3,311,2023-02-14
tt0026778,4,489,2023-02-14
tt0026778,5,1151,2023-02-14
tt0026778,6,2546,2023-02-14
tt0026778,7,5520,2023-02-14
tt0026778,8,9513,2023-02-14
tt0026778,9,6175,2023-02-14
tt0026778,10,6917,2023-02-14
tt0027977,1,4031,2023-02-14
tt0027977,2,1105,2023-02-14
tt0027977,3,1214,2023-02-14
tt0027977,4,2140,2023-02-14
tt0027977,5,4419,2023-02-14
tt0027977,6,9302,2023-02-14
tt0027977,7,27699,2023-02-14
tt0027977,8,64370,2023-02-14
tt0027977,9,67789,2023-02-14
tt0027977,10,62902,2023-02-14
tt0027996,1,188,2023-02-14
tt0027996,2,124,2023-02-14
tt0027996,3,147,2023-02-14
tt0027996,4,278,2023-02-14
tt0027996,5,627,2023-02-14
tt0027996,6,1609,2023-02-14
tt0027996,7,4344,2023-02-14
tt0027996,8,7363,2023-02-14
tt0027996,9,3744,2023-02-14
tt0027996,10,3641,2023-02-14
tt0028010,1,323,2023-02-14
tt0028010,2,114,2023-02-14
tt0028010,3,161,2023-02-14
tt0028010,4,267,2023-02-14
tt0028010,5,633,2023-02-14
tt0028010,6,1713,2023-02-14
tt0028010,7,4197,2023-02-14
tt0028010,8,7339,2023-02-14
tt0028010,9,4696,2023-02-14
tt0028010,10,5162,2023-02-14
tt0028597,1,180,2023-02-14
tt0028597,2,80,2023-02-14
tt0028597,3,140,2023-02-14
tt0028597,4,240,2023-02-14
tt0028597,5,716,2023-02-14
tt0028597,6,1716,2023-02-14
tt0028597,7,4271,2023-02-14
tt0028597,8,6090,2023-02-14
tt0028597,9,3146,2023-02-14
tt0028597,10,3585,2023-02-14
tt0028950,1,1361,2023-02-14
tt0028950,2,264,2023-02-14
tt0028950,3,278,2023-02-14
tt0028950,4,426,2023-02-14
tt0028950,5,995,2023-02-14
tt0028950,6,2293,2023-02-14
tt0028950,7,5815,2023-02-14
tt0028950,8,9938,2023-02-14
tt0028950,9,7462,2023-02-14
tt0028950,10,8476,2023-02-14
tt0029583,1,1373,2023-02-14
tt0029583,2,813,2023-02-14
tt0029583,3,1600,2023-02-14
tt0029583,4,3047,2023-02-14
tt0029583,5,9314,2023-02-14
tt0029583,6,23969,2023-02-14
tt0029583,7,55873,2023-02-14
tt0029583,8,56114,2023-02-14
tt0029583,9,22863,2023-02-14
tt0029583,10,28053,2023-02-14
tt0029843,1,994,2023-02-14
tt0029843,2,309,2023-02-14
tt0029843,3,353,2023-02-14
tt0029843,4,677,2023-02-14
tt0029843,5,1600,2023-02-14
tt0029843,6,3876,2023-02-14
tt0029843,7,9455,2023-02-14
tt0029843,8,14829,2023-02-14
tt0029843,9,8897,2023-02-14
tt0029843,10,11100,2023-02-14
tt0029870,1,442,2023-02-14
tt0029870,2,76,2023-02-14
tt0029870,3,104,2023-02-14
tt0029870,4,185,2023-02-14
tt0029870,5,493,2023-02-14
tt0029870,6,1521,2023-02-14
tt0029870,7,4287,2023-02-14
tt0029870,8,7546,2023-02-14
tt0029870,9,3948,2023-02-14
tt0029870,10,3463,2023-02-14
tt0029947,1,1227,2023-02-14
tt0029947,2,549,2023-02-14
tt0029947,3,729,2023-02-14
tt0029947,4,1172,2023-02-14
tt0029947,5,2553,2023-02-14
tt0029947,6,5233,2023-02-14
tt0029947,7,10705,2023-02-14
tt0029947,8,16149,2023-02-14
